zip,type,primary_city,state,county,timezone
29620,STANDARD,Abbeville,SC,Abbeville County,America/New_York
29628,STANDARD,Calhoun Falls,SC,Abbeville County,America/New_York
29638,STANDARD,Donalds,SC,Abbeville County,America/New_York
29639,STANDARD,Due West,SC,Abbeville County,America/New_York
70516,STANDARD,Branch,LA,Acadia Parish,America/Chicago
70525,STANDARD,Church Point,LA,Acadia Parish,America/Chicago
70526,STANDARD,Crowley,LA,Acadia Parish,America/Chicago
70531,STANDARD,Egan,LA,Acadia Parish,America/Chicago
70537,STANDARD,Evangeline,LA,Acadia Parish,America/Chicago
70543,STANDARD,Iota,LA,Acadia Parish,America/Chicago
70559,STANDARD,Morse,LA,Acadia Parish,America/Chicago
70578,STANDARD,Rayne,LA,Acadia Parish,America/Chicago
23301,STANDARD,Accomac,VA,Accomack County,America/New_York
23302,STANDARD,Assawoman,VA,Accomack County,America/New_York
23303,STANDARD,Atlantic,VA,Accomack County,America/New_York
23306,STANDARD,Belle Haven,VA,Accomack County,America/New_York
23308,STANDARD,Bloxom,VA,Accomack County,America/New_York
23336,STANDARD,Chincoteague Island,VA,Accomack County,America/New_York
23337,STANDARD,Wallops Island,VA,Accomack County,America/New_York
23345,STANDARD,Davis Wharf,VA,Accomack County,America/New_York
23356,STANDARD,Greenbackville,VA,Accomack County,America/New_York
23357,STANDARD,Greenbush,VA,Accomack County,America/New_York
23358,STANDARD,Hacksneck,VA,Accomack County,America/New_York
23359,STANDARD,Hallwood,VA,Accomack County,America/New_York
23395,STANDARD,Horntown,VA,Accomack County,America/New_York
23396,STANDARD,Oak Hall,VA,Accomack County,America/New_York
23399,STANDARD,Jenkins Bridge,VA,Accomack County,America/New_York
23404,STANDARD,Locustville,VA,Accomack County,America/New_York
23409,STANDARD,Mears,VA,Accomack County,America/New_York
23410,STANDARD,Melfa,VA,Accomack County,America/New_York
23415,STANDARD,New Church,VA,Accomack County,America/New_York
23416,STANDARD,Oak Hall,VA,Accomack County,America/New_York
23417,STANDARD,Onancock,VA,Accomack County,America/New_York
23418,STANDARD,Onley,VA,Accomack County,America/New_York
23420,STANDARD,Painter,VA,Accomack County,America/New_York
23421,STANDARD,Parksley,VA,Accomack County,America/New_York
23426,STANDARD,Sanford,VA,Accomack County,America/New_York
23442,STANDARD,Temperanceville,VA,Accomack County,America/New_York
23488,STANDARD,Withams,VA,Accomack County,America/New_York
83616,STANDARD,Eagle,ID,Ada County,America/Boise
83634,STANDARD,Kuna,ID,Ada County,America/Boise
83642,STANDARD,Meridian,ID,Ada County,America/Boise
83646,STANDARD,Meridian,ID,Ada County,America/Boise
83669,STANDARD,Star,ID,Ada County,America/Boise
83702,STANDARD,Boise,ID,Ada County,America/Boise
83703,STANDARD,Boise,ID,Ada County,America/Boise
83704,STANDARD,Boise,ID,Ada County,America/Boise
83705,STANDARD,Boise,ID,Ada County,America/Boise
83706,STANDARD,Boise,ID,Ada County,America/Boise
83708,STANDARD,Boise,ID,Ada County,America/Boise
83709,STANDARD,Boise,ID,Ada County,America/Boise
83712,STANDARD,Boise,ID,Ada County,America/Boise
83713,STANDARD,Boise,ID,Ada County,America/Boise
83714,STANDARD,Garden City,ID,Ada County,America/Boise
83716,STANDARD,Boise,ID,Ada County,America/Boise
83720,UNIQUE,Boise,ID,Ada County,America/Boise
83721,UNIQUE,Boise,ID,Ada County,America/Boise
83722,UNIQUE,Boise,ID,Ada County,America/Boise
83724,UNIQUE,Boise,ID,Ada County,America/Boise
83725,UNIQUE,Boise,ID,Ada County,America/Boise
83726,UNIQUE,Boise,ID,Ada County,America/Boise
83727,UNIQUE,Boise,ID,Ada County,America/Boise
83728,UNIQUE,Boise,ID,Ada County,America/Boise
83729,UNIQUE,Boise,ID,Ada County,America/Boise
83730,UNIQUE,Boise,ID,Ada County,America/Boise
83731,UNIQUE,Boise,ID,Ada County,America/Boise
83732,UNIQUE,Boise,ID,Ada County,America/Boise
83733,UNIQUE,Boise,ID,Ada County,America/Boise
83735,UNIQUE,Boise,ID,Ada County,America/Boise
83756,UNIQUE,Boise,ID,Ada County,America/Boise
83757,UNIQUE,Boise,ID,Ada County,America/Boise
42715,STANDARD,Breeding,KY,Adair County,America/Chicago
42728,STANDARD,Columbia,KY,Adair County,America/Chicago
42741,STANDARD,Glens Fork,KY,Adair County,America/Chicago
42742,STANDARD,Gradyville,KY,Adair County,America/Chicago
42753,STANDARD,Knifley,KY,Adair County,America/Chicago
50002,STANDARD,Adair,IA,Adair County,America/Chicago
50837,STANDARD,Bridgewater,IA,Adair County,America/Chicago
50846,STANDARD,Fontanelle,IA,Adair County,America/Chicago
50849,STANDARD,Greenfield,IA,Adair County,America/Chicago
50858,STANDARD,Orient,IA,Adair County,America/Chicago
63501,STANDARD,Kirksville,MO,Adair County,America/Chicago
63533,STANDARD,Brashear,MO,Adair County,America/Chicago
63540,STANDARD,Gibbs,MO,Adair County,America/Chicago
63546,STANDARD,Greentop,MO,Adair County,America/Chicago
63559,STANDARD,Novinger,MO,Adair County,America/Chicago
74457,STANDARD,Proctor,OK,Adair County,America/Chicago
74931,STANDARD,Bunch,OK,Adair County,America/Chicago
74960,STANDARD,Stilwell,OK,Adair County,America/Chicago
74964,STANDARD,Watts,OK,Adair County,America/Chicago
74965,STANDARD,Westville,OK,Adair County,America/Chicago
17301,STANDARD,Abbottstown,PA,Adams County,America/New_York
17304,STANDARD,Aspers,PA,Adams County,America/New_York
17307,STANDARD,Biglerville,PA,Adams County,America/New_York
17316,STANDARD,East Berlin,PA,Adams County,America/New_York
17320,STANDARD,Fairfield,PA,Adams County,America/New_York
17325,STANDARD,Gettysburg,PA,Adams County,America/New_York
17340,STANDARD,Littlestown,PA,Adams County,America/New_York
17344,STANDARD,Mc Sherrystown,PA,Adams County,America/New_York
17350,STANDARD,New Oxford,PA,Adams County,America/New_York
17353,STANDARD,Orrtanna,PA,Adams County,America/New_York
17372,STANDARD,York Springs,PA,Adams County,America/New_York
17375,STANDARD,Peach Glen,PA,Adams County,America/New_York
39120,STANDARD,Natchez,MS,Adams County,America/Chicago
45144,STANDARD,Manchester,OH,Adams County,America/New_York
45616,STANDARD,Blue Creek,OH,Adams County,America/New_York
45650,STANDARD,Lynx,OH,Adams County,America/New_York
45660,STANDARD,Peebles,OH,Adams County,America/New_York
45679,STANDARD,Seaman,OH,Adams County,America/New_York
45693,STANDARD,West Union,OH,Adams County,America/New_York
45697,STANDARD,Winchester,OH,Adams County,America/New_York
46711,STANDARD,Berne,IN,Adams County,America/Indiana/Indianapolis
46733,STANDARD,Decatur,IN,Adams County,America/Indiana/Indianapolis
46740,STANDARD,Geneva,IN,Adams County,America/Indiana/Indianapolis
46772,STANDARD,Monroe,IN,Adams County,America/Indiana/Indianapolis
50839,STANDARD,Carbon,IA,Adams County,America/Chicago
50841,STANDARD,Corning,IA,Adams County,America/Chicago
